
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000598                       # Number of seconds simulated (Second)
simTicks                                    598408500                       # Number of ticks simulated (Tick)
finalTick                                   598408500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.95                       # Real time elapsed on the host (Second)
hostTickRate                                151396686                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     704668                       # Number of bytes of host memory used (Byte)
simInsts                                      1148805                       # Number of instructions simulated (Count)
simOps                                        2290245                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   290636                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     579407                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1196818                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.041794                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.959883                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2398522                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       68                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2362599                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    633                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               108339                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            201106                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  31                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1087171                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.173162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.509501                       # Number of insts issued each cycle (Count)
system.cpu.fetch.cacheLines                     22334                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                  1440                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples            1087171                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.264140                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.564461                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                   767551     70.60%     70.60% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                     3347      0.31%     70.91% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                     3313      0.30%     71.21% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                     3004      0.28%     71.49% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                     2201      0.20%     71.69% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                     4046      0.37%     72.06% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                     5746      0.53%     72.59% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                     4692      0.43%     73.02% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                   293271     26.98%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total              1087171                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts               1235182                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.032055                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches             169891                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.141952                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles        69751                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst          20320                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total             20320                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst         20320                       # number of overall hits (Count)
system.cpu.icache.overallHits::total            20320                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst         2014                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total            2014                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst         2014                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total           2014                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst    143150999                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total    143150999                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst    143150999                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total    143150999                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst        22334                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total         22334                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst        22334                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total        22334                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.090176                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.090176                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.090176                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.090176                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 71077.953823                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 71077.953823                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 71077.953823                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 71077.953823                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs          146                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs            4                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs      36.500000                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.writebacks::writebacks         1016                       # number of writebacks (Count)
system.cpu.icache.writebacks::total              1016                       # number of writebacks (Count)
system.cpu.icache.demandMshrHits::cpu.inst          489                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           489                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          489                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          489                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst         1525                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total         1525                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst         1525                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total         1525                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst    111377500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total    111377500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst    111377500                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total    111377500                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.068282                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.068282                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.068282                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.068282                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 73034.426230                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 73034.426230                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 73034.426230                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 73034.426230                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                   1016                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst        20320                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total           20320                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst         2014                       # number of ReadReq misses (Count)
